task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,perc_cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,aoi_num
807,-,AMD EPYC 7282 16-Core Processor,e0/f357e8,3047445,transectAnalysis,-,transectAnalysis (143),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,68535,67821,-,410.7,2.1,1813397504,8857530368,1813417984,9273499648,278104485,21443252,36874,2134,3354624,4861952,296,27466,/home/ubuntu/IWD_graph_analysis/work/e0/f357e89833c31e1d26ee4f454e2e73,-,-,143
1279,-,AMD EPYC 7282 16-Core Processor,de/fd954b,3081028,networkAnalysis,-,networkAnalysis (142),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2341,1578,-,147.4,0.0,65818624,1269116928,65826816,1558958080,17245952,857975,3094,244,524288,921600,12,108,/home/ubuntu/IWD_graph_analysis/work/de/fd954b9a46f5f6056c6ca61ceb5c04,-,-,142
1280,-,AMD EPYC 7282 16-Core Processor,43/b69df3,3082952,graphToShapefile,-,graphToShapefile (142),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2576,1883,-,153.6,0.1,157339648,1678086144,157347840,1678139392,22473092,1760832,5331,3192,0,1753088,2,183,/home/ubuntu/IWD_graph_analysis/work/43/b69df30ada0249a09046adf6ceaad6,-,-,142
806,-,AMD EPYC 7282 16-Core Processor,19/100042,3032722,transectAnalysis,-,transectAnalysis (142),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,98115,97315,-,166.5,2.1,1774878720,8818237440,1774899200,9271754752,268334282,10044047,36014,1471,1146880,2392064,319,21637,/home/ubuntu/IWD_graph_analysis/work/19/100042295fd7fd76eb26e7cb9e3b24,-,-,142
1281,-,AMD EPYC 7282 16-Core Processor,2d/d221d5,3086782,networkAnalysis,-,networkAnalysis (143),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2157,1454,-,195.8,0.0,65347584,1268707328,65355776,1558958080,16776721,365513,3015,114,217088,430080,14,118,/home/ubuntu/IWD_graph_analysis/work/2d/d221d5d1595002469672d950c7e503,-,-,143
1282,-,AMD EPYC 7282 16-Core Processor,66/9aae8a,3089293,graphToShapefile,-,graphToShapefile (143),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,1958,1206,-,175.9,0.1,156856320,1675522048,157835264,1688436736,17712028,694462,3481,1263,0,708608,2,157,/home/ubuntu/IWD_graph_analysis/work/66/9aae8a63894ce928d2b3e144b4e357,-,-,143
810,-,AMD EPYC 7282 16-Core Processor,36/34752d,3086381,transectAnalysis,-,transectAnalysis (146),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,14168,13449,-,1138.8,2.1,1851437056,8892653568,1851453440,9277390848,282938958,27314459,36476,2114,3702784,6230016,2005,15851,/home/ubuntu/IWD_graph_analysis/work/36/34752da0aecb8e6411416e8a5edec8,-,-,146
812,-,AMD EPYC 7282 16-Core Processor,0e/759352,3097400,transectAnalysis,-,transectAnalysis (148),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,6846,5463,-,793.8,2.1,1746026496,8796012544,1746046976,9271554048,263592617,4468788,34831,775,491520,1339392,282,6291,/home/ubuntu/IWD_graph_analysis/work/0e/7593523aa036105273f4fdd4a35b24,-,-,148
1286,-,AMD EPYC 7282 16-Core Processor,84/819d41,3104352,networkAnalysis,-,networkAnalysis (146),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,4144,2318,-,95.6,0.0,61497344,1370046464,61505536,1558958080,16575277,148480,2980,58,81920,212992,10,246,/home/ubuntu/IWD_graph_analysis/work/84/819d4136902b88cd9e88afa6d3d564,-,-,146
1288,-,AMD EPYC 7282 16-Core Processor,c2/e1545c,3108960,graphToShapefile,-,graphToShapefile (146),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,1396,752,-,297.9,0.0,11624448,17047552,11632640,17100800,15728649,235148,2661,410,0,253952,1,6,/home/ubuntu/IWD_graph_analysis/work/c2/e1545c7923db15def772fc1278be93,-,-,146
1291,-,AMD EPYC 7282 16-Core Processor,45/dc572c,3174503,networkAnalysis,-,networkAnalysis (148),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2121,1450,-,157.0,0.0,64249856,1267650560,64258048,1558958080,16568324,144433,2977,56,69632,208896,16,104,/home/ubuntu/IWD_graph_analysis/work/45/dc572c7201b8a246caba8d648a7664,-,-,148
1292,-,AMD EPYC 7282 16-Core Processor,74/7a38a7,3175855,graphToShapefile,-,graphToShapefile (148),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,1717,913,-,199.0,0.0,13602816,62570496,13611008,62623744,15654048,249996,2662,418,0,270336,1,10,/home/ubuntu/IWD_graph_analysis/work/74/7a38a76ad77d6b95b7ab5a2db83bb3,-,-,148
815,-,AMD EPYC 7282 16-Core Processor,10/8515c2,3173431,transectAnalysis,-,transectAnalysis (151),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,64303,63651,-,543.2,2.1,1814405120,8858017792,1814425600,9274474496,278536945,22046820,36867,2125,3014656,4947968,151,32812,/home/ubuntu/IWD_graph_analysis/work/10/8515c2ce40580175df2c27b3911151,-,-,151
1293,-,AMD EPYC 7282 16-Core Processor,53/0f01b7,3201063,networkAnalysis,-,networkAnalysis (149),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2590,1862,-,181.3,0.0,65093632,1268711424,65101824,1558958080,17238736,864560,3095,246,2252800,929792,12,113,/home/ubuntu/IWD_graph_analysis/work/53/0f01b7e9313dcf1713fec6c90502d9,-,-,149
1294,-,AMD EPYC 7282 16-Core Processor,79/152ef9,3204022,graphToShapefile,-,graphToShapefile (149),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2640,1867,-,148.8,0.1,157671424,1678184448,157679616,1678237696,22062088,1725405,5171,3022,118784,1724416,2,120,/home/ubuntu/IWD_graph_analysis/work/79/152ef97740b682c1fd808fa1f0ff19,-,-,149
813,-,AMD EPYC 7282 16-Core Processor,b3/d1d57a,3102518,transectAnalysis,-,transectAnalysis (149),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,332213,331413,-,137.0,2.1,1773633536,8814882816,1773654016,9272778752,266931574,8335727,35656,1272,950272,2072576,526,46263,/home/ubuntu/IWD_graph_analysis/work/b3/d1d57abf86c666d4efc6be1c382109,-,-,149
1295,-,AMD EPYC 7282 16-Core Processor,cc/69c328,3238443,networkAnalysis,-,networkAnalysis (150),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2313,1525,-,166.4,0.0,64745472,1268051968,64749568,1558958080,16708319,291465,3003,95,176128,356352,13,105,/home/ubuntu/IWD_graph_analysis/work/cc/69c328b4c117468db7ae96e1b5601c,-,-,150
1296,-,AMD EPYC 7282 16-Core Processor,a3/669073,3240520,graphToShapefile,-,graphToShapefile (150),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2024,1214,-,138.5,0.0,12779520,17715200,12787712,17768448,17133446,539205,3233,1000,0,548864,1,8,/home/ubuntu/IWD_graph_analysis/work/a3/669073b5df9c2b4ac91afbaeaa06e9,-,-,150
816,-,AMD EPYC 7282 16-Core Processor,a3/3e3c2e,3200828,transectAnalysis,-,transectAnalysis (152),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,173305,172679,-,379.0,2.1,1817964544,8861384704,1817980928,9274277888,279464491,23227366,37013,2199,4042752,5214208,227,61850,/home/ubuntu/IWD_graph_analysis/work/a3/3e3c2ef8de2acf41e8c06c0bca32d9,-,-,152
1297,-,AMD EPYC 7282 16-Core Processor,f2/d29f50,3262731,networkAnalysis,-,networkAnalysis (151),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2456,1815,-,163.8,0.0,65069056,1268711424,65073152,1558958080,17332198,953864,3112,271,589824,1015808,14,107,/home/ubuntu/IWD_graph_analysis/work/f2/d29f50f10014dacce74077f345ba78,-,-,151
1298,-,AMD EPYC 7282 16-Core Processor,60/68bdcf,3264903,graphToShapefile,-,graphToShapefile (151),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,3031,2193,-,142.0,0.1,158494720,1678974976,158502912,1679028224,23334286,1943770,5683,3552,0,1937408,1,139,/home/ubuntu/IWD_graph_analysis/work/60/68bdcf1b590b9ac4a87520e4058771,-,-,151
1299,-,AMD EPYC 7282 16-Core Processor,8c/e9c85e,3266616,networkAnalysis,-,networkAnalysis (152),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,4081,3290,-,98.2,0.1,116137984,1438195712,116146176,1558958080,17448201,1092632,3128,305,655360,1155072,12,351,/home/ubuntu/IWD_graph_analysis/work/8c/e9c85e49e0d887b5d542dd46f8e08c,-,-,152
1300,-,AMD EPYC 7282 16-Core Processor,e3/e7c843,3269449,graphToShapefile,-,graphToShapefile (152),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2666,1811,-,205.8,0.1,160600064,1680388096,161951744,1694486528,24295047,2226656,6018,3912,0,2220032,1,119,/home/ubuntu/IWD_graph_analysis/work/e3/e7c843871e32ea04aae1dd5982f151,-,-,152
822,-,AMD EPYC 7282 16-Core Processor,79/3d655b,3275637,transectAnalysis,-,transectAnalysis (158),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,7177,6352,-,654.5,2.1,1743921152,8720654336,1743941632,9196294144,263596700,4474261,34823,769,491520,1347584,98,7057,/home/ubuntu/IWD_graph_analysis/work/79/3d655b82ddbf96a9e3fc2f2e736a1f,-,-,158
1311,-,AMD EPYC 7282 16-Core Processor,b1/0e55c8,3345536,networkAnalysis,-,networkAnalysis (158),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2660,1951,-,175.4,0.0,64962560,1268441088,64966656,1558958080,17709579,1366358,3170,377,811008,1429504,13,115,/home/ubuntu/IWD_graph_analysis/work/b1/0e55c8e525c7c7a58f7e8d6d1b5c5d,-,-,158
1312,-,AMD EPYC 7282 16-Core Processor,0a/8bd972,3346832,graphToShapefile,-,graphToShapefile (158),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,3160,2398,-,133.9,0.1,168005632,1686347776,168009728,1697095680,27125567,2880255,7168,5120,0,2859008,1,223,/home/ubuntu/IWD_graph_analysis/work/0a/8bd972b4c1dc93d5e061593df08ef7,-,-,158
826,-,AMD EPYC 7282 16-Core Processor,50/a9eff9,3346830,transectAnalysis,-,transectAnalysis (162),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,33055,32313,-,277.2,2.1,1756831744,8801353728,1756848128,9270403072,263885681,4762463,35102,935,503808,1384448,195,8046,/home/ubuntu/IWD_graph_analysis/work/50/a9eff9120694247c551b82fd084d7c,-,-,162
814,-,AMD EPYC 7282 16-Core Processor,a6/9fd0ba,3114258,transectAnalysis,-,transectAnalysis (150),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,874180,873551,-,119.7,2.1,1797201920,8841736192,1797222400,9273950208,273982578,16768848,36183,1666,2093056,3883008,208,80363,/home/ubuntu/IWD_graph_analysis/work/a6/9fd0ba304c26c8d174df1c660a2409,-,-,150
1319,-,AMD EPYC 7282 16-Core Processor,98/de59c8,3430086,networkAnalysis,-,networkAnalysis (162),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2672,1987,-,135.8,0.0,65363968,1268707328,65372160,1558958080,17574638,1232258,3149,342,733184,1298432,13,109,/home/ubuntu/IWD_graph_analysis/work/98/de59c8ca6601c8a37528a467d3293a,-,-,162
1320,-,AMD EPYC 7282 16-Core Processor,c1/e6edfe,3431895,graphToShapefile,-,graphToShapefile (162),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,3140,2293,-,140.7,0.1,166694912,1684717568,166703104,1695244288,25468644,2530729,6503,4418,0,2519040,1,209,/home/ubuntu/IWD_graph_analysis/work/c1/e6edfeea796edc0339dd450a2ede56,-,-,162
829,-,AMD EPYC 7282 16-Core Processor,15/8c81bf,3429826,transectAnalysis,-,transectAnalysis (165),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,17024,16362,-,1136.9,2.2,1854676992,8898555904,1854697472,9273434112,284664872,29357151,37866,2687,3706880,6475776,962,18246,/home/ubuntu/IWD_graph_analysis/work/15/8c81bfe758b5d345c83c2fb677ce76,-,-,165
830,-,AMD EPYC 7282 16-Core Processor,13/e0a593,3439030,transectAnalysis,-,transectAnalysis (166),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,7995,7080,-,873.4,2.1,1770676224,8813355008,1770696704,9271324672,266875559,8317242,35670,1280,946176,2093056,614,5554,/home/ubuntu/IWD_graph_analysis/work/13/e0a59317181bef35c0bae6029378bb,-,-,166
