task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,perc_cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,aoi_num
1289,-,AMD EPYC 7282 16-Core Processor,fc/cbfb22,nf-fccbfb22b2d271ecf0d16965e2862df4-37821,graphToShapefile,-,graphToShapefile (46),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,3494,799,-,295.0,0.0,3485696,5857280,3489792,5910528,16473268,326275,2739,484,0,344064,4,3,/app/results/joba/work/fc/cbfb22b2d271ecf0d16965e2862df4,-,-,46
1291,-,AMD EPYC 7282 16-Core Processor,3c/0170f7,nf-3c0170f763548a40dfd6c81c60b9e7a0-e70e3,graphToShapefile,-,graphToShapefile (48),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,2428,743,-,320.3,0.0,3411968,5857280,3420160,5910528,15896131,237015,2608,355,0,262144,2,4,/app/results/joba/work/3c/0170f763548a40dfd6c81c60b9e7a0,-,-,48
1295,-,AMD EPYC 7282 16-Core Processor,77/32eb20,nf-7732eb2099f01481e9709f44718604a6-1254c,graphToShapefile,-,graphToShapefile (52),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,3255,1182,-,257.6,0.1,159813632,1685360640,159821824,1694912512,22554966,991460,3976,1733,0,999424,30,143,/app/results/joba/work/77/32eb2099f01481e9709f44718604a6,-,-,52
1297,-,AMD EPYC 7282 16-Core Processor,ed/6045cd,nf-ed6045cd99a25f8308d0c4114b2d5e0c-67990,graphToShapefile,-,graphToShapefile (54),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,5186,1944,-,212.8,0.1,160624640,1688420352,160632832,1688473600,32231198,2399752,6135,3926,0,2392064,21,133,/app/results/joba/work/ed/6045cd99a25f8308d0c4114b2d5e0c,-,-,54
1298,-,AMD EPYC 7282 16-Core Processor,a6/4c4c09,nf-a64c4c094e9e1bfaa3da7c395c17a3f6-840ae,graphToShapefile,-,graphToShapefile (55),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,4122,2039,-,220.6,0.1,161566720,1689505792,161574912,1689559040,34622021,2672862,6669,4474,0,2658304,21,120,/app/results/joba/work/a6/4c4c094e9e1bfaa3da7c395c17a3f6,-,-,55
1302,-,AMD EPYC 7282 16-Core Processor,44/424695,nf-444246955844c9b6d9965d05f77e3a8d-7e890,graphToShapefile,-,graphToShapefile (57),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,3825,2345,-,173.8,0.1,173301760,1706659840,173309952,1706713088,39711161,3358670,7724,5553,0,3338240,17,227,/app/results/joba/work/44/4246955844c9b6d9965d05f77e3a8d,-,-,57
1304,-,AMD EPYC 7282 16-Core Processor,5e/6ac3b0,nf-5e6ac3b07983acf6763547d54e0b1044-56599,graphToShapefile,-,graphToShapefile (59),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,1725,857,-,354.3,0.0,11501568,16785408,11509760,16838656,18803159,532838,3204,954,0,544768,4,4,/app/results/joba/work/5e/6ac3b07983acf6763547d54e0b1044,-,-,59
1306,-,AMD EPYC 7282 16-Core Processor,a7/a2ca4f,nf-a7a2ca4fa0c88423bf69e5c18f0857a5-3d3ad,graphToShapefile,-,graphToShapefile (61),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,4629,2636,-,164.9,0.1,171667456,1696165888,171675648,1705652224,42195117,3746941,8353,6197,0,3719168,27,249,/app/results/joba/work/a7/a2ca4fa0c88423bf69e5c18f0857a5,-,-,61
1312,-,AMD EPYC 7282 16-Core Processor,14/7c9ecc,nf-147c9ecc0c96f10d1e595c77e42ae4c0-090a0,graphToShapefile,-,graphToShapefile (67),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,3247,2426,-,180.1,0.1,168783872,1693020160,169472000,1704345600,36552614,2972342,7103,4916,0,2953216,34,209,/app/results/joba/work/14/7c9ecc0c96f10d1e595c77e42ae4c0,-,-,67
1314,-,AMD EPYC 7282 16-Core Processor,83/4b0346,nf-834b03466ccdc967b8e7d39a01bbaf29-4b1b6,graphToShapefile,-,graphToShapefile (69),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716750000000.0,1716750000000.0,1716750000000.0,3680,2170,-,196.0,0.1,161079296,1689468928,161083392,1689522176,34193846,2686689,6485,4279,0,2670592,18,252,/app/results/joba/work/83/4b03466ccdc967b8e7d39a01bbaf29,-,-,69
